CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;31/12/2024;1;BCO BRASIL S.A.;001023;FRE WEB;138169;29/05/2024;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=138169
00.000.000/0001-91;31/12/2024;2;BCO BRASIL S.A.;001023;FRE WEB;138997;10/06/2024;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=138997
00.000.000/0001-91;31/12/2024;3;BCO BRASIL S.A.;001023;FRE WEB;139632;15/07/2024;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=139632
00.000.000/0001-91;31/12/2024;4;BCO BRASIL S.A.;001023;FRE WEB;139693;17/07/2024;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=139693
00.000.000/0001-91;31/12/2024;5;BCO BRASIL S.A.;001023;FRE WEB;141221;15/08/2024;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=141221
00.000.000/0001-91;31/12/2024;6;BCO BRASIL S.A.;001023;FRE WEB;141659;10/09/2024;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=141659
00.000.000/0001-91;31/12/2024;7;BCO BRASIL S.A.;001023;FRE WEB;141957;01/10/2024;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=141957
00.000.000/0001-91;31/12/2024;8;BCO BRASIL S.A.;001023;FRE WEB;142110;09/10/2024;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142110
00.000.000/0001-91;31/12/2024;9;BCO BRASIL S.A.;001023;FRE WEB;143483;25/11/2024;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=143483
00.000.000/0001-91;31/12/2024;10;BCO BRASIL S.A.;001023;FRE WEB;143728;10/12/2024;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=143728
00.000.208/0001-00;31/12/2024;1;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;138927;04/06/2024;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=138927
00.000.208/0001-00;31/12/2024;2;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;139088;13/06/2024;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=139088
00.000.208/0001-00;31/12/2024;3;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;139787;22/07/2024;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=139787
00.000.208/0001-00;31/12/2024;4;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;141325;20/08/2024;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=141325
